dataset,model,fold,roc_auc,accuracy,f1_weighted
Adult Income,adaboost,0,0.9137945920259372,0.8558706111167981,0.847676598364952
Adult Income,adaboost,1,0.9098369383846069,0.8556658818712253,0.8481575011815277
Adult Income,adaboost,2,0.9077472524719935,0.8539107289107289,0.8458750672540587
Adult Income,adaboost,3,0.9130854236957473,0.8582104832104832,0.8503800488998483
Adult Income,adaboost,4,0.9160807168065731,0.8610769860769861,0.854715498118243
Heart Disease,adaboost,0,0.9123376623376623,0.8360655737704918,0.8354405514482659
Heart Disease,adaboost,1,0.9523809523809523,0.8360655737704918,0.8363305539853024
Heart Disease,adaboost,2,0.9036796536796537,0.8032786885245902,0.8032786885245902
Heart Disease,adaboost,3,0.8641975308641975,0.7833333333333333,0.7816709292412618
Heart Disease,adaboost,4,0.867564534231201,0.75,0.7433692800932672
Mushroom,adaboost,0,0.9999999999999999,0.931076923076923,0.930577480490524
Mushroom,adaboost,1,1.0,1.0,1.0
Mushroom,adaboost,2,1.0,0.9963076923076923,0.9963071461083295
Mushroom,adaboost,3,1.0,1.0,1.0
Mushroom,adaboost,4,0.9957540056765118,0.8078817733990148,0.801964239906452
Telco Customer Churn,adaboost,0,0.8646748818104317,0.815471965933286,0.8083048497563561
Telco Customer Churn,adaboost,1,0.8578121367123925,0.8034066713981547,0.7985778015611755
Telco Customer Churn,adaboost,2,0.8330233279082384,0.7984386089425124,0.7917996486625745
Telco Customer Churn,adaboost,3,0.8422789498905596,0.8039772727272727,0.7938457422079306
Telco Customer Churn,adaboost,4,0.8451499291469708,0.8032670454545454,0.7952707196331239
Breast Cancer,adaboost,0,0.9970520799213888,0.9736842105263158,0.973621425014614
Breast Cancer,adaboost,1,0.9963969865705864,0.9649122807017544,0.9647382344750765
Breast Cancer,adaboost,2,0.9986772486772486,0.9912280701754386,0.9912054752585661
Breast Cancer,adaboost,3,0.9861111111111112,0.9736842105263158,0.9736164257756981
Breast Cancer,adaboost,4,0.9993293091884642,0.9823008849557522,0.9822079526104994
