dataset,task,model,n_samples,n_features,training_time,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_roc_auc_mean,cv_roc_auc_std,tuned
Adult Income,classification,adaboost,48842,14,4.506186416838318,0.8578155389497389,0.75615698644812,0.8491061902039372,0.9115389671663074,0.8569469382372444,0.00247677183509092,0.7604039414910685,0.00566813907446709,0.849360942763726,0.0030379748559068846,0.9121089846769717,0.0029582516317640923,False
Heart Disease,classification,adaboost,303,13,0.14947816613130271,0.819672131147541,0.8143939393939394,0.8184886832797643,0.8971861471861472,0.8017486338797815,0.032786247716934724,0.7967291967291967,0.03772563463164791,0.8000180006585375,0.035013378272290584,0.9000320666987334,0.0323833075209718,False
Mushroom,classification,adaboost,8124,22,0.7315067502204329,1.0,1.0,1.0,0.9999999999999999,0.9470532777567261,0.07437292475009241,0.9478493101560878,0.07200843295877174,0.9457697733010612,0.07661161559665292,0.9991508011353023,0.0016983977293952514,False
Telco Customer Churn,classification,adaboost,7043,19,1.0986837500240654,0.8034066713981547,0.7184750316463872,0.7965886216152982,0.842428117492056,0.8049123128911543,0.005643815669143382,0.7183706835332417,0.008793327494234462,0.7975597523642322,0.005808715504699334,0.8485878450937185,0.011293856083284112,False
Breast Cancer,classification,adaboost,569,30,0.44463104102760553,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.9871031746031746,0.9771619313771154,0.008927576724706666,0.9722615408211542,0.009829272421917761,0.9770779026268908,0.008967744319169652,0.9955133470937598,0.004819178329372466,False
Credit Card Fraud,classification,adaboost,10000,29,7.345188332954422,0.999,0.99949924887331,0.999124749498998,0.99916541478885,0.9993000000000001,0.0005099019513592702,0.8582331580202636,0.17392357466729347,0.9991728360534478,0.0006899057390742044,0.9935956080078702,0.012205652579148189,False
IMDB Movie Reviews,classification,adaboost,10000,33624,22.16994316596538,0.793,0.7938990617864762,0.7917238755327138,0.8836454210959526,0.7849999999999999,0.007120393247567167,0.7858694902083153,0.007010738165785298,0.7836935085445247,0.007501754022422286,0.8687062134518276,0.00526974423694949,False
MNIST,classification,adaboost,10000,151,40.1280868339818,0.7455,0.7411921180459815,0.7472287028595311,0.9440565730984254,0.7502,0.004578209256903843,0.7466320216345166,0.0047075100750107075,0.7510517019194064,0.005234383857672312,0.9473192465822228,0.000839473001181299,False
HIGGS,classification,adaboost,10000,28,6.047373249894008,0.6605,0.6553061685621753,0.6580722149252215,0.7183455097788156,0.6751,0.010818502669038825,0.6713389068815746,0.01151154910104092,0.6738181680721456,0.011316830465726967,0.7456591097386458,0.013675837988444533,False
Adult Income,classification,gbm,48842,14,2.707468874985352,0.86764254273723,0.7758079204645096,0.8607715132195612,0.9214262230484529,0.866999695421233,0.002317802828540935,0.7765712052631125,0.004308192696072616,0.8604155639904331,0.002615822093779704,0.9212245350030146,0.0021961984370442453,False
