dataset,model,fold,roc_auc,accuracy,f1_weighted
Adult Income,adaboost,0,0.913335852086127,0.8560753403623708,0.8476997750939571
Adult Income,adaboost,1,0.9097885030446633,0.8562800696079435,0.8481732986628261
Adult Income,adaboost,2,0.9075295312798441,0.8543202293202293,0.8452905558360108
Adult Income,adaboost,3,0.9129320514674242,0.8589271089271089,0.8512139809889712
Adult Income,adaboost,4,0.9160411573093484,0.8611793611793612,0.8541027950048167
Heart Disease,adaboost,0,0.9177489177489178,0.8688524590163934,0.8650125535371437
Heart Disease,adaboost,1,0.9637445887445887,0.9016393442622951,0.9016393442622951
Heart Disease,adaboost,2,0.8993506493506493,0.819672131147541,0.8193785172498165
Heart Disease,adaboost,3,0.9074074074074073,0.85,0.8488491048593351
Heart Disease,adaboost,4,0.8877665544332211,0.8,0.7958333333333333
Mushroom,adaboost,0,0.994564294207576,0.8818461538461538,0.8796555672864526
Mushroom,adaboost,1,1.0,0.9993846153846154,0.9993846013828227
Mushroom,adaboost,2,1.0,0.9956923076923077,0.9956915527792674
Mushroom,adaboost,3,1.0,1.0,1.0
Mushroom,adaboost,4,0.9973758661691746,0.8731527093596059,0.8719384390030264
Telco Customer Churn,adaboost,0,0.8650365548063758,0.8197303051809794,0.8125100477052588
Telco Customer Churn,adaboost,1,0.8581363507194709,0.801277501774308,0.7962888258449259
Telco Customer Churn,adaboost,2,0.8325854452452919,0.7920511000709723,0.7853215191220311
Telco Customer Churn,adaboost,3,0.8402326093432283,0.8082386363636364,0.7995696470737055
Telco Customer Churn,adaboost,4,0.8450865751611001,0.8032670454545454,0.7955101933585541
Breast Cancer,adaboost,0,0.9963969865705863,0.9736842105263158,0.973621425014614
Breast Cancer,adaboost,1,0.9967245332459876,0.9649122807017544,0.9647382344750765
Breast Cancer,adaboost,2,0.9986772486772486,0.9912280701754386,0.9912054752585661
Breast Cancer,adaboost,3,0.9864417989417988,0.9736842105263158,0.9736164257756981
Breast Cancer,adaboost,4,0.9993293091884642,0.9823008849557522,0.9822079526104994
Credit Card Fraud,adaboost,0,1.0,0.9995,0.9995356516761474
Credit Card Fraud,adaboost,1,1.0,1.0,1.0
Credit Card Fraud,adaboost,2,0.99966616591554,0.999,0.9987502502502502
Credit Card Fraud,adaboost,3,0.9996242484969939,0.9995,0.9995277151368357
