dataset,task,model,n_samples,n_features,training_time,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_roc_auc_mean,cv_roc_auc_std,tuned,optuna_metric,best_params
Adult Income,classification,adaboost,48842,14,4.445667792111635,0.8574060804585935,0.7567672774872425,0.8489311505219239,0.9113258574263896,0.8573564218794028,0.0024124714305017343,0.7586495262962745,0.005675155570325868,0.8492960811173165,0.0030540433675206517,0.9119254190374815,0.002960816471662574,True,0.8573564218794028,"{""n_estimators"": 393, ""learning_rate"": 0.4756192573653293}"
Heart Disease,classification,adaboost,303,13,0.13003283296711743,0.8032786885245902,0.7884199134199135,0.7948381288216978,0.908008658008658,0.848032786885246,0.035839830018409034,0.8413059163059163,0.03809469149986112,0.8461425706483847,0.03658039741925802,0.9152036235369568,0.026182415333225156,True,0.848032786885246,"{""n_estimators"": 253, ""learning_rate"": 0.02352049414281421}"
Mushroom,classification,adaboost,8124,22,1.2129407080356032,0.9981538461538462,0.9980842911877394,0.9981537159251258,1.0,0.9500151572565365,0.05929094179477017,0.9499233806351184,0.05926537001067789,0.9493340320903136,0.06011037481485579,0.9983880320753501,0.0021652146717299967,True,0.9500151572565365,"{""n_estimators"": 617, ""learning_rate"": 0.22524912924501503}"
Telco Customer Churn,classification,adaboost,7043,19,1.5735172920394689,0.801277501774308,0.7153181430675037,0.7942691000469841,0.8425869952724172,0.8049129177688883,0.00907707963515408,0.7192301313849798,0.00989071617886039,0.7978400466208951,0.008749268339709881,0.8482155070550933,0.011825282147310538,True,0.8049129177688883,"{""n_estimators"": 581, ""learning_rate"": 0.4866274565666472}"
Breast Cancer,classification,adaboost,569,30,0.9234182080253959,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.988095238095238,0.9771619313771154,0.008927576724706666,0.9722615408211542,0.009829272421917761,0.9770779026268908,0.008967744319169652,0.9955139753248172,0.004671458326016691,True,0.9771619313771154,"{""n_estimators"": 795, ""learning_rate"": 0.27436197067336077}"
Credit Card Fraud,classification,adaboost,10000,29,7.122849541949108,0.999,0.99949924887331,0.999124749498998,0.99916541478885,0.9993000000000001,0.0005099019513592702,0.8582331580202636,0.17392357466729347,0.9991728360534478,0.0006899057390742044,0.9945474616400218,0.010551485308534609,True,0.9993000000000001,"{""n_estimators"": 388, ""learning_rate"": 0.40565420834632476}"
IMDB Movie Reviews,classification,adaboost,10000,33624,42.16785345808603,0.814,0.8146925778019141,0.8133452306926999,0.9006669807046652,0.8003,0.007325298628724974,0.8009656168396375,0.007288489927749967,0.7996284742169684,0.007430454648277481,0.8835511096842719,0.005418626017269875,True,0.8003,"{""n_estimators"": 765, ""learning_rate"": 0.4676450700180151}"
MNIST,classification,adaboost,10000,151,78.00196512509137,0.7695,0.7661639134553966,0.7705508846656719,0.9499242909336629,0.7709999999999999,0.004289522117905439,0.7679282527188819,0.004662362719987468,0.7718588632970933,0.003876074023103429,0.9521633536615992,0.002053097398639355,True,0.7709999999999999,"{""n_estimators"": 790, ""learning_rate"": 0.464746719891871}"
HIGGS,classification,adaboost,10000,28,7.379087500041351,0.6585,0.6534935100800883,0.6562436749897727,0.7195018955085235,0.6807,0.011939849245279402,0.677080163691597,0.012686949741718667,0.6795249526640108,0.012465378067206573,0.747466144460345,0.013833012589022444,True,0.6807,"{""n_estimators"": 500, ""learning_rate"": 0.4888959456967403}"
Adult Income,classification,gbm,48842,14,36.633335707942024,0.8763435356740711,0.8005816039643419,0.8721327084248337,0.9286683855888198,0.8751485020601614,0.0023089758242251595,0.8013111977333974,0.004232257664708443,0.8712808674326189,0.0025240016280014353,0.928878152317418,0.0018124899421310247,True,0.8751485020601614,"{""n_estimators"": 766, ""learning_rate"": 0.01933471735215724, ""max_depth"": 6, ""subsample"": 0.7209101263105339}"
