dataset,model,fold,rmse,mae,r2
California Housing,adaboost,0,1.3925287618815374,1.256007809302783,-0.8050697464387067
California Housing,adaboost,1,1.1571385590019623,1.0336616174380044,-0.14386794519539103
California Housing,adaboost,2,1.1661217230739258,1.0170445639173817,0.05470216200617661
California Housing,adaboost,3,1.2999642844917043,1.181680250433611,-0.440444609227318
California Housing,adaboost,4,1.1896048144266245,1.004277869054664,0.028822477327588802
Ames House Prices,adaboost,0,38941.66616654495,30910.498798223503,0.7991708887055609
Ames House Prices,adaboost,1,38961.122053295134,31678.86165094045,0.7341243340139589
Ames House Prices,adaboost,2,39177.45824415202,28962.475302964158,0.7360712817827197
Ames House Prices,adaboost,3,37698.62202475539,25893.49400880271,0.7916369801704174
Ames House Prices,adaboost,4,38740.967252536924,29582.669673166394,0.7394495068774324
Wine Quality,adaboost,0,0.8289786718582806,0.6571571533242654,0.21210002254442084
Wine Quality,adaboost,1,0.8345271771765193,0.6568895590054687,0.16792716085193182
Wine Quality,adaboost,2,0.7924628081263998,0.6231742354529365,0.2058412744201883
Wine Quality,adaboost,3,0.7760886716856744,0.5955350783878705,0.22994969196677717
Wine Quality,adaboost,4,0.6927587061761223,0.536228475536839,0.2009612491476579
Superconductivity,adaboost,0,19.318129280682236,15.41268770538138,0.6733283079380274
Superconductivity,adaboost,1,18.972027911586313,14.897021486401373,0.6862731919191951
Superconductivity,adaboost,2,21.31928461726709,17.86030880853238,0.6198634318190439
Superconductivity,adaboost,3,23.94989574250972,21.51755573360033,0.5195567100462772
Superconductivity,adaboost,4,18.600220298475385,14.714249605201093,0.7014553210424281
California Housing,gbm,0,0.6535107876747898,0.5232938685165017,0.6024505460715713
California Housing,gbm,1,0.5937967544826498,0.42366849846656646,0.6987820853564464
California Housing,gbm,2,0.6368938238731376,0.46153739171965896,0.7180221673334415
California Housing,gbm,3,0.6405650981260418,0.4649285996730092,0.6502479526451039
California Housing,gbm,4,0.6832211938836654,0.484812947007292,0.6796565444968495
Ames House Prices,gbm,0,26180.513315195218,17387.693109216572,0.9092275782181471
Ames House Prices,gbm,1,21972.266904598655,15263.65230595877,0.9154399149633147
Ames House Prices,gbm,2,22703.857540794437,14762.949117110607,0.9113633279027236
