dataset,model,fold,rmse,mae,r2
California Housing,adaboost,0,0.7652361047850686,0.6293226170611427,0.4548995456121476
California Housing,adaboost,1,0.7193522418522409,0.500231243640472,0.5579327302972694
California Housing,adaboost,2,0.7771535620222132,0.5898010208154857,0.5801495944028483
California Housing,adaboost,3,0.8796048822683108,0.7276448267843734,0.34050883170292423
California Housing,adaboost,4,0.745343670356355,0.5909580262720503,0.6187530908638759
Ames House Prices,adaboost,0,32730.427679441465,24098.867818843657,0.8581266028759443
Ames House Prices,adaboost,1,30725.090238850626,23284.916076054345,0.8346508322297339
Ames House Prices,adaboost,2,34684.41027660608,23742.98058884708,0.7931370254051981
Ames House Prices,adaboost,3,37296.42168611902,23691.66856576026,0.7960592443753011
Ames House Prices,adaboost,4,33447.57348137394,23680.131623534606,0.8057861429966998
Wine Quality,adaboost,0,0.8197939341420712,0.6609456609069735,0.2294625080394529
Wine Quality,adaboost,1,0.7750447562339302,0.606731233795949,0.2823148808117619
Wine Quality,adaboost,2,0.7592120877921094,0.6023626263016755,0.27108688893449084
Wine Quality,adaboost,3,0.7509698139412055,0.5888652516461644,0.2789898620233874
Wine Quality,adaboost,4,0.6564977917751313,0.5222188571132879,0.2824198838472337
Superconductivity,adaboost,0,16.90967002525583,12.860216302676585,0.7497053126555153
Superconductivity,adaboost,1,17.20404088186964,12.725741850743526,0.7420205854279824
Superconductivity,adaboost,2,17.86132373983831,12.951495386093338,0.7331779730921932
Superconductivity,adaboost,3,17.666514261956237,13.2133364192981,0.738581321737212
Superconductivity,adaboost,4,17.318177109770797,12.990757284077562,0.7411921096546494
California Housing,gbm,0,0.6040036657021646,0.45930261327772914,0.6604022626424919
California Housing,gbm,1,0.5735296621505628,0.4001596537916702,0.718993137299893
California Housing,gbm,2,0.5936843195315837,0.43612044059910904,0.7549853514033779
California Housing,gbm,3,0.6522788748561379,0.47263506386466203,0.6373394229381601
California Housing,gbm,4,0.6614739187346854,0.4652718266744278,0.6997253660680075
Ames House Prices,gbm,0,22962.1923100416,14944.798252668772,0.930172851489897
Ames House Prices,gbm,1,20783.778805558883,13670.770836252632,0.9243402847171855
Ames House Prices,gbm,2,21839.534457441438,13176.638981339564,0.9179835648428865
Ames House Prices,gbm,3,32508.213887116257,15650.726177625822,0.8450627268825566
Ames House Prices,gbm,4,19344.57182419012,13499.802538322207,0.9350365287262669
Wine Quality,gbm,0,0.791359556275905,0.6232672545714724,0.2819873822365242
Wine Quality,gbm,1,0.7527503102863133,0.5902316198324074,0.3230099849441562
Wine Quality,gbm,2,0.714103228931764,0.5595617265741377,0.35513095942810524
Wine Quality,gbm,3,0.721455936504979,0.5652014418410868,0.334549074841614
Wine Quality,gbm,4,0.6365703520122962,0.5138249883275116,0.3253218083570094
Superconductivity,gbm,0,10.40874753781639,6.338653548812039,0.9051628890069119
Superconductivity,gbm,1,10.484473966803586,6.254939399083498,0.9041885500766165
Superconductivity,gbm,2,10.846111067857343,6.285515611102722,0.9016119191319778
Superconductivity,gbm,3,11.06947540825718,6.3926089938256,0.897366543017341
Superconductivity,gbm,4,9.830448499023454,5.962613028326492,0.9166088767469613
California Housing,xgboost,0,0.6216195066678832,0.47160890538097583,0.6403045800260951
California Housing,xgboost,1,0.5797045224866182,0.40471675974509513,0.7129096892319254
California Housing,xgboost,2,0.5906866522983595,0.4298531765441654,0.7574533906901841
California Housing,xgboost,3,0.5964049552941756,0.41278148891795047,0.6968090681491463
California Housing,xgboost,4,0.6828559647868468,0.4803457504984828,0.6799989445277625
