dataset,task,model,n_samples,n_features,training_time,test_rmse,test_mae,test_r2,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,tuned,optuna_metric,best_params
California Housing,regression,adaboost,20640,8,4.235432291869074,0.7501463804687398,0.5802689114482107,0.57057712403211,0.7773380922568377,0.054755804023528774,0.6075915469147047,0.07349073542177438,0.5104487585758131,0.10080481762717491,True,0.7773380922568377,"{""n_estimators"": 199, ""learning_rate"": 0.02398761842131442, ""loss"": ""exponential""}"
Ames House Prices,regression,adaboost,2930,80,5.190743874991313,34091.84782511148,23373.08637494449,0.8550362157923556,33776.78467247823,2178.4265342911003,23699.712934607993,258.34135750670094,0.8175519695765754,0.02504050072177673,True,33776.78467247823,"{""n_estimators"": 655, ""learning_rate"": 0.040913850600176986, ""loss"": ""exponential""}"
Wine Quality,regression,adaboost,4898,11,1.4740240420214832,0.7303731158822085,0.583017162217659,0.3112157627241747,0.7523036767768895,0.05347964934043537,0.5962247259528101,0.04442497143241475,0.26885480473126533,0.020122821096336868,True,0.7523036767768895,"{""n_estimators"": 381, ""learning_rate"": 0.03174600216503337, ""loss"": ""exponential""}"
Superconductivity,regression,adaboost,10000,81,45.416884042089805,17.384939645542648,12.55637907743107,0.7353456281080946,17.391945203738164,0.33735544801496475,12.948309448577822,0.16084029476853007,0.7409354605135106,0.00536421945718572,True,17.391945203738164,"{""n_estimators"": 702, ""learning_rate"": 0.013987254315465108, ""loss"": ""exponential""}"
California Housing,regression,gbm,20640,8,17.870031624799594,0.48273852982737736,0.3225491686725833,0.8221650705623773,0.616994088195027,0.03413128833670902,0.44669791964151956,0.026284204480203712,0.694289108070386,0.04175035531738731,True,0.616994088195027,"{""n_estimators"": 789, ""learning_rate"": 0.015429557842094923, ""max_depth"": 5, ""subsample"": 0.6148646428940959}"
Ames House Prices,regression,gbm,2930,80,3.864769290899858,24174.34345762229,13923.50438533538,0.927110023333416,23487.658256869658,4665.597060907964,14188.547357241801,946.1821000326563,0.9105191913317585,0.033222445493972054,True,23487.658256869658,"{""n_estimators"": 659, ""learning_rate"": 0.05914300008707385, ""max_depth"": 3, ""subsample"": 0.7419976962201738}"
Wine Quality,regression,gbm,4898,11,1.8228325829841197,0.6604478239931789,0.5182172635540594,0.436789595619385,0.7232478768022516,0.05120434239519287,0.5704174062293231,0.03614820427004767,0.32399984196148185,0.02386716142856878,True,0.7232478768022516,"{""n_estimators"": 458, ""learning_rate"": 0.00889698105083564, ""max_depth"": 5, ""subsample"": 0.6089117808674934}"
Superconductivity,regression,gbm,10000,81,65.84800533298403,11.011644091110414,6.275823657197444,0.8938213913488652,10.52785129595159,0.4235761845272818,6.246866116230071,0.1496827969290237,0.9049877555959617,0.006406231512833175,True,10.52785129595159,"{""n_estimators"": 543, ""learning_rate"": 0.04943940834430619, ""max_depth"": 6, ""subsample"": 0.7246339137038118}"
California Housing,regression,xgboost,20640,8,0.18763724993914366,0.47850274278719873,0.32237155663053196,0.8252722022995936,0.6142543203067767,0.03695444474383464,0.4398612162173339,0.030709993789092574,0.6974951345250228,0.03849661765549372,True,0.6142543203067767,"{""n_estimators"": 220, ""learning_rate"": 0.04864045605724153, ""max_depth"": 5, ""subsample"": 0.6114306317082937, ""colsample_bytree"": 0.9759148743790539, ""reg_lambda"": 0.07210874520963405, ""reg_alpha"": 2.05365826381816}"
Ames House Prices,regression,xgboost,2930,80,0.5364113340619951,23559.469046520608,14145.458126133213,0.9307707809747863,23049.100036729553,4307.843446014496,14040.188116600897,935.7137942460242,0.9142839650379923,0.028727161168797068,True,23049.100036729553,"{""n_estimators"": 852, ""learning_rate"": 0.07799271104684974, ""max_depth"": 4, ""subsample"": 0.7935741086284036, ""colsample_bytree"": 0.6663462559824944, ""reg_lambda"": 0.18309553687173977, ""reg_alpha"": 0.9286212338751318}"
